ip version|application name|packets|bytes
6|BitTorrent|25|4585
4|BitTorrent|8989435|6015096456
6|Brodos Crypto Trade Protocol|12|1824
4|Brodos Crypto Trade Protocol|9245235|9260612124
4|Clash of Clans|1468990|83104597
4|DNS|25616669|4122897902
6|DNS|25875648|5718384634
4|FCP|36|1507
4|GNUnet|1631968|2358284387
6|HTTP|14024|14679638
4|HTTP|526970351|643915872001
6|HTTPS|68636|63960339
4|HTTPS|961014960|947160379857
6|IMAPS|113|46003
4|IMAPS|1468138|1089286251
4|IPSec NAT Traversal|7628604|4280842043
4|Microsoft DS|22417813|1894209900
4|NNTP|5030|317135
4|NNTPS|46|1983
4|Not TCP/UDP|24103983|11560660611
6|Not TCP/UDP|2678604|212754934
6|NTP|2394|229824
4|NTP|6439647|355756610
4|OpenVPN|2905696|3668438154
4|QUIC|16229792|11511720844
6|QUIC|713|271578
4|Remote Shell|216147|22211065
4|RTSP|69640|6857034
6|SMTP|278|18720
4|SMTP|5117244|765067487
4|SSH|3012475|854438442
4|STUN/TURN|1270335|428759463
4|Sun Proxy Admin Service|1699121|2171601935
6|Sun Proxy Admin Service|70|4326
4|Tor|2976162|183461372
6|unidentified|17952|3857453
4|unidentified|451870475|258927624484
4|XBox Live|3183633|624617271
4|XMPP|9739397|2393186856
4|XNS|18|916
