ip version|application name|packets|bytes
4|BitTorrent|24750151|9887126790
6|BitTorrent|292572|288871204
4|Brodos Crypto Trade Protocol|28194007|15832914017
6|Brodos Crypto Trade Protocol|612244|241048898
6|Clash of Clans|350|39123
4|Clash of Clans|5229437|235963514
6|DNS|24126216|2719405425
4|DNS|68781848|14207073841
4|FCP|727|51091
4|GNUnet|2463203|140107919
6|GNUnet|53|11700
4|HTTP|1177168385|380394738219
6|HTTP|5073526|4758412970
4|HTTPS|2524405105|890294524761
6|HTTPS|45112909|17986754329
6|IMAPS|3438|1309368
4|IMAPS|4872188|1041078297
4|IPSec NAT Traversal|10572361|5147980554
6|IPSec NAT Traversal|350|53836
4|Microsoft DS|18197965|1385764312
4|NNTP|29138|4932383
4|NNTPS|605|37925
6|Not TCP/UDP|11786330|1010050354
4|Not TCP/UDP|155922626|48761347784
4|NTP|102790926|34058064096
6|NTP|5753042|552292252
4|OpenVPN|4307810|2054812427
6|OpenVPN|537|139506
4|QUIC|14549599|6795426263
6|QUIC|252174|103673234
4|Remote Shell|2164924|1522673032
4|RTSP|2254015|2356584312
4|SMTP|19746840|7014248173
6|SMTP|3129|2949727
4|SSH|13170587|5980898482
6|SSH|69118|17480549
6|STUN/TURN|200730|47966082
4|STUN/TURN|4190680|1128423039
4|Sun Proxy Admin Service|10667825|956136487
6|Sun Proxy Admin Service|79|5884
4|Tor|10337127|13599938376
6|Tor|462|566475
4|unidentified|1285546205|567741808032
6|unidentified|64960691|52888944920
6|XBox Live|328|37747
4|XBox Live|6660534|1481215322
6|XMPP|2625|375592
4|XMPP|572107717|78151300785
4|XNS|8216|608914
