ip version|port|bytes
6|26253|85241
4|55164|42135302
4|53777|23182890
6|24866|71844
4|55165|17916354
6|26254|92841
4|53778|75204264
6|24867|77948
6|24868|70116
6|26255|86359
4|55166|16003247
4|53779|11359497
6|24869|86464
4|55167|29319554
6|26256|77763
6|50450|98667
4|55168|32016484
6|26257|116975
6|50451|91278
4|55169|13581359
6|26258|69296
6|50452|94565
6|26259|98526
6|50453|70329
6|50454|83584
6|50455|82010
6|50456|100944
6|50457|86786
6|50458|89671
6|50459|90161
4|36560|252235820
4|36561|10367338
4|36562|32250291
4|36563|15325503
4|36564|18003987
4|36565|13572637
4|60760|10089951
4|36566|16499129
6|31850|81441
4|60761|12147991
4|36567|7176613
4|60762|43704265
6|31851|84528
4|36568|142102993
6|31852|94165
4|60763|16382147
4|36569|10942724
4|62150|31639103
6|31853|95320
4|60764|9097336
4|62151|22373137
6|33240|93032
4|60765|11176908
6|31854|98344
4|62152|20613808
6|33241|69566
6|33242|73411
4|60766|13278720
6|31855|71458
4|62153|6702431
4|60767|11242639
6|31856|82517
4|62154|263173458
6|33243|89191
6|31857|94800
4|60768|42637651
4|62155|9027405
6|33244|93313
6|31858|92468
6|33245|91425
4|60769|13288970
4|62156|235063123
6|33246|83112
4|17960|83834912
6|31859|80213
4|62157|5986281
4|17961|1573043
4|62158|119026605
6|33247|87006
4|17962|5061991
4|62159|11451536
6|33248|95295
4|17963|730465
4|19350|1367495
6|33249|87397
4|17964|3837709
4|19351|1066387
4|17965|3504657
4|19352|1657921
4|17966|22645758
4|19353|1116474
4|17967|14264351
4|19354|4679256
4|17968|4481672
4|19355|1826495
4|17969|11011360
4|43550|116346388
4|19356|2761715
6|14640|88473
4|43551|81043273
4|19357|1695948
6|14641|95297
4|43552|14807603
4|19358|1292026
4|43553|20691124
6|14642|80212
4|19359|5399095
6|16030|82626
4|43554|15826826
6|14643|66921
6|16031|108427
6|14644|92691
4|43555|9566940
6|16032|90477
4|43556|20098425
6|14645|73044
6|14646|70715
6|16033|69054
4|43557|9596897
6|14647|85877
6|16034|92784
4|43558|41933287
6|16035|122222
4|43559|20313623
6|14648|80350
6|14649|98071
6|16036|92397
6|40230|90515
6|40231|92323
6|16037|74815
6|16038|88700
6|40232|86796
6|16039|93110
6|1870|85328
6|40233|68525
6|40234|78163
6|1871|95120
6|1872|80911
6|40235|83939
6|40236|102806
6|1873|73969
6|3260|79375
6|40237|94218
6|3261|77494
6|1874|67553
4|65390|13299353
6|1875|69035
6|40238|105089
6|3262|100008
4|65391|110698654
6|1876|95254
6|3263|82129
4|26340|122811277
6|40239|94617
4|65392|22222448
6|1877|77437
4|26341|14678184
6|3264|76917
4|65393|64746019
6|3265|75607
6|57900|81522
4|26342|27661040
6|1878|96784
4|65394|21726875
6|3266|85098
4|26343|18988134
6|1879|102834
6|57901|104125
4|65395|3745218
6|3267|69245
4|26344|48465630
6|57902|101034
4|65396|10066867
6|3268|88556
6|60680|85512
4|26345|21811500
4|8290|1806087
6|57903|82187
4|65397|32589291
6|57904|95690
6|60681|75077
4|26346|40695971
4|8291|7133475
6|3269|84022
4|65398|27856861
6|60682|96007
4|26347|69889941
4|8292|5222379
6|57905|86352
4|65399|90569238
4|26348|71006222
4|8293|794340
6|60683|95774
6|57906|93614
6|60684|96351
4|26349|48733020
4|8294|14149848
6|57907|100279
6|23020|96560
4|8295|1555605
6|60685|109167
6|57908|83298
6|23021|80568
4|8296|27563119
6|60686|89538
6|57909|98733
6|60687|84889
6|23022|102180
4|8297|579399
6|60688|96641
4|8298|2432511
6|23023|75055
4|46790|10334850
4|8299|1756561
6|23024|93973
6|60689|102588
4|46791|34391531
6|17880|79150
6|23025|88795
4|46792|18039473
6|17881|92702
6|23026|101958
6|23027|76254
4|46793|6293954
6|17882|80622
4|48180|22830105
6|23028|98071
4|46794|31439831
6|17883|79398
4|48181|9563611
6|17884|100011
4|46795|57292047
6|23029|79639
4|48182|91469890
4|46796|11325977
6|17885|95192
4|48183|8038024
6|17886|102739
4|46797|21431158
4|48184|7138280
6|17887|88074
4|46798|6776294
4|48185|15419499
6|17888|90371
4|46799|53129951
4|48186|228757777
6|43470|86742
6|17889|88706
4|48187|13399349
6|43471|81003
4|48188|11642170
6|43472|88287
4|48189|17218417
6|43473|112552
6|43474|62971
6|43475|84856
6|43476|83899
6|43477|67018
6|43478|75437
4|29580|2987664
6|43479|105226
4|29581|1353516
4|29582|17476731
4|29583|46141323
4|29584|20284650
4|29585|2110277
4|29586|12876145
4|53780|27746896
6|24870|94465
4|29587|12299253
4|53781|20156176
6|24871|84443
4|29588|10254985
4|53782|24861120
6|24872|109914
4|29589|58369237
4|55170|97321498
4|53783|10450554
6|26260|80514
4|55171|16297774
4|53784|23498308
6|24873|86900
4|55172|15617696
6|26261|71626
4|53785|154962365
6|24874|77734
6|24875|94156
6|26262|66081
4|55173|19172455
4|53786|22358447
6|24876|87288
4|55174|89647295
6|26263|92158
4|53787|34295877
6|26264|88410
4|55175|26926407
4|53788|73484781
6|24877|109739
6|26265|87651
4|55176|19094238
4|53789|19990487
6|24878|64715
4|55177|13574033
6|26266|90609
6|24879|83697
6|50460|101164
6|50461|99275
4|55178|9878167
6|26267|115860
6|26268|93972
4|55179|25884293
6|50462|86539
6|26269|82472
6|50463|87485
6|50464|100168
