ip version|port|bytes
4|55164|9407221
6|26253|3395
4|53777|4226960
6|24866|2644
6|24867|2758
4|55165|37788148
6|26254|1928
4|53778|59161059
6|26255|2405
6|24868|35644
4|55166|49175913
4|53779|16184252
6|26256|1972
6|24869|3189
4|55167|5494889
6|50450|1499673
6|26257|3549
4|55168|8564382
6|50451|362939
6|26258|1552
4|55169|7083331
6|50452|22261
6|50453|95750
6|26259|3635
6|50454|319970
6|50455|132012
6|50456|700514
6|50457|946331
6|50458|24001
6|50459|242685
4|36560|29092238
4|36561|1419996
4|36562|5250632
4|36563|1298792
4|36564|8545346
4|36565|1385060
4|60760|3380253
4|36566|2409386
6|31850|4254
4|60761|3590932
4|36567|1977389
6|31851|2454
4|60762|30706565
4|36568|1745293
6|31852|2517
4|60763|1336762
4|36569|1359901
4|62150|20776094
6|31853|1967
6|33240|3345
4|60764|5546013
4|62151|2947152
4|60765|10318510
6|31854|3053
4|62152|18904545
6|33241|173345
4|60766|3703618
6|31855|84998
4|62153|2143692
6|33242|5751
6|31856|2658
6|33243|6486
4|60767|2042293
4|62154|2466747
6|31857|2260
4|60768|2530809
4|62155|3718717
6|33244|7049416
6|31858|2518
6|33245|2668
4|60769|6621558
4|62156|2431489
6|33246|3063
4|17960|524709
6|31859|2808
4|62157|2382731
6|33247|106134
4|17961|6751251
4|62158|11568546
4|17962|8191423
4|62159|7355042
6|33248|2189
6|33249|1254
4|17963|618818
4|19350|624055
4|17964|1081605
4|19351|1215309
4|17965|1041018
4|19352|12906387
4|17966|4446486
4|19353|944155
4|17967|1190466
4|19354|974820
4|17968|15418839
4|19355|811763
4|17969|717267
4|43550|5332506
4|19356|1348544
4|43551|24276702
6|14640|2966
4|19357|823949
4|43552|3193899
6|14641|3014
4|19358|792695
4|43553|2572219
6|14642|3049
4|19359|759286
6|16030|4184
4|43554|3287991
6|14643|3957
6|14644|3048
6|16031|3290
4|43555|1353877
6|16032|1466
6|14645|2374
4|43556|7947481
6|16033|2507
4|43557|1165325
6|14646|2827
6|16034|1447
4|43558|2373313
6|14647|2737
6|14648|3714
6|16035|2058
4|43559|1170506
6|16036|4290
6|14649|2179
6|40230|3122
6|40231|19410
6|16037|4198
6|16038|2681
6|40232|3073
6|16039|1868
6|1870|3280
6|40233|3904
6|1871|1135
6|40234|32715
6|1872|1493
6|40235|6670
6|40236|3453
6|1873|2498
6|3260|1862
