ip version|port|bytes
4|55164|428850
6|26253|436
4|53777|250996
6|24866|727
6|24867|98
4|55165|283015
4|53778|638464
6|26255|244
4|55166|277550
4|53779|270190
6|24869|868
4|55167|10663475
6|50450|5350
4|55168|24809703
6|26257|206
6|50451|26763
6|26258|308
4|55169|669937
6|50452|2390
6|26259|500
6|50453|3606
6|50454|7240
6|50455|33207
6|50456|372
6|50457|16457
6|50458|2264
4|36560|108939
6|50459|1248
4|36561|123950
4|36562|132761
4|36563|232308
4|36564|138005
4|36565|612830
4|60760|97426324
4|36566|259670
6|31850|560
4|60761|376668
4|36567|180610
4|60762|276580
4|36568|222033
4|60763|881772
4|36569|158551
4|62150|263823
4|60764|387774
4|62151|616184
6|33240|3260
6|33241|562
4|60765|340583
4|62152|488188
6|33242|500
4|60766|480533
6|31855|1180
4|62153|10665184
4|60767|250301
4|62154|2460215
6|33243|8372
4|60768|716444
6|31857|1052
4|62155|16761534
6|33244|5022
4|60769|42933305
6|31858|372
4|62156|1803433
6|33245|10836
6|33246|697
4|17960|148034
4|62157|235990
4|17961|56446
4|62158|230309
6|33247|1146
4|17962|88863
4|62159|228450
6|33248|840
4|17963|59712
4|19350|125998
6|33249|1934
4|17964|77434
4|19351|87461
4|17965|209718
4|19352|45467
4|17966|767150
4|19353|512659
4|17967|104593
4|19354|60641
4|17968|1273834
4|19355|111905
4|17969|337535
4|43550|167464
4|19356|571807
4|43551|168455
6|14640|436
4|19357|2817421
4|43552|318724
6|14641|872
4|19358|82554
4|43553|474091
6|14642|842
4|19359|75260829
6|16030|308
4|43554|168585
6|14643|1304
6|16031|436
4|43555|9634229
4|43556|197615
6|16033|698
4|43557|107788
6|16034|308
4|43558|170528
4|43559|116870
6|14648|101
6|16036|203
6|14649|851
6|40230|3610
6|16037|932
6|40231|8164
6|40232|500
6|40233|675
6|16039|560
6|1871|372
6|40234|6900
6|1872|744
6|40235|776
6|1873|562
6|40236|11158
6|3260|988
6|1874|560
6|40237|308
4|65390|279612
6|40238|4170
6|3262|372
6|1875|560
4|65391|477164
6|3263|372
4|26340|106382
6|40239|5458
4|65392|2872972
6|3264|98
4|26341|274114
6|1877|1804
4|65393|1944612
4|26342|102217
6|57900|2877
4|65394|227906
6|3266|744
4|26343|85479
6|1879|744
6|57901|2180
4|65395|6469567
6|3267|500
4|26344|177381
6|57902|16026
4|65396|212437
6|60680|700
4|26345|168694
4|8290|80505081
6|57903|655
4|65397|233509
4|26346|274336
4|8291|495359
6|60681|994
6|3269|804
4|65398|207821
4|26347|95343
4|8292|51910639
6|57905|1156
4|65399|193629
6|60683|3022
4|26348|57978
4|8293|137023
6|57906|16186
4|26349|76643
4|8294|106240601
6|60684|80
6|57907|2686
6|57908|1670
4|8295|242534
6|60685|938
6|60686|2533
4|8296|64451
6|23021|932
6|57909|1884
4|8297|78848
6|60687|5107
4|8298|148375
6|23023|244
6|60688|11224
4|46790|230717
4|8299|63092
6|60689|8503
4|46791|153282
6|17880|413
6|23025|914
6|23026|500
6|17881|244
4|46792|20723277
6|17882|98
4|46793|125596
6|23027|500
4|48180|174302
6|23028|740
4|46794|141948
6|17883|1180
4|48181|240795
6|17884|744
4|46795|121183
4|48182|188138
4|46796|286474
6|17885|680
4|48183|100394
4|46797|103684
4|48184|597452
4|46798|349946
4|48185|95083
4|46799|114825
6|17888|678
4|48186|70877932
6|43470|1276
4|48187|491173
6|43471|1006
4|48188|161944
6|43472|925
4|48189|1470308
6|43474|22598
6|43475|32533
6|43476|1242
6|43477|1682
6|43478|1286
6|43479|226
4|29580|65591
4|29581|114430
4|29582|81828
4|29583|59748
4|29584|48717
4|29585|106446
4|29586|64981
4|53780|320028
4|29587|4328600
4|53781|296559
6|24870|723
6|24871|244
4|29588|562124
4|53782|4564975
4|29589|66764
4|55170|1067114
4|53783|818346
6|24872|106
6|24873|472
6|26260|1744
4|55171|273114
4|53784|1296549
6|24874|932
4|55172|317215
4|53785|1189088
4|55173|1245137
4|53786|355077
4|55174|407008
6|26263|1120
4|53787|316312
6|24876|1992
6|24877|932
6|26264|308
4|55175|295591
4|53788|300292
4|55176|405922
4|53789|278804
4|55177|270464
6|24879|500
6|50460|8649
4|55178|59889454
6|26267|106
6|50461|8078
4|55179|261109
6|50462|9960
6|26269|436
6|50463|1849
6|50464|971
6|50465|6552
6|50466|1459
6|50467|252867
6|50468|1656
4|36570|191822
6|50469|3537
4|36571|90032
4|36572|1493270
4|36573|110689
4|36574|151594
4|36575|3312158
4|60770|426997
4|36576|174653
4|60771|239086
4|36577|124351
4|60772|356645
6|31861|436
4|36578|224049
4|60773|2564856
6|31862|436
4|36579|300147
4|62160|242730
4|60774|53017300
4|62161|250713
6|33250|2459
6|33251|3498
4|60775|9369315
4|62162|220605
6|31865|500
4|60776|312163
4|62163|250796
6|33252|372
6|33253|500
4|60777|3852777
4|62164|284222
6|31867|244
6|33254|2899
4|60778|547466
4|62165|338083
6|31868|552
6|33255|502
4|60779|302307
4|62166|2885301
6|33256|1037246
4|17970|65182
4|62167|200902
4|17971|66128
4|62168|422515
6|33257|6908
4|17972|133380
4|62169|226188
6|33258|1240
4|17973|59591
4|19360|136383
6|33259|2294
4|17974|123654
4|19361|5792856
4|17975|130265
4|19362|42193
4|17976|121536
4|19363|44113
4|17977|105714
4|19364|454883
4|17978|54686
4|19365|39312
4|17979|57387
4|43560|131941
