ip version|port|bytes
6|26253|40508
4|55164|25930618
4|53777|58820947
6|24866|21618132
6|24867|31128
4|55165|21396034
6|26254|47258
4|53778|21608595
6|24868|5129193
6|26255|34264
4|55166|28016378
4|53779|40332831
6|24869|28587
4|55167|25166717
6|26256|190051
6|50450|2614071
6|26257|62221
4|55168|27000878
6|50451|2094621
6|26258|452045
4|55169|26738124
6|50452|1978060
6|26259|42835
6|50453|1631069
6|50454|1223030
6|50455|3104170
6|50456|2261395
6|50457|5725216
6|50458|1274198
4|36560|19354441
6|50459|1131943
4|36561|8616693
4|36562|26799387
4|36563|150990327
4|36564|18160879
4|36565|9561984
4|60760|29217281
4|36566|27099962
4|60761|39038029
6|31850|26543521
4|36567|12331346
6|31851|34246
4|60762|22187765
4|36568|32414585
6|31852|3047742
4|60763|13961235
4|36569|12490979
4|62150|22532797
6|33240|43932
6|31853|36273
4|60764|41009762
4|62151|8231855
6|31854|185394
4|60765|17424231
4|62152|13057297
6|33241|51404
6|31855|34816
4|60766|59974352
4|62153|12453442
6|33242|190566
6|31856|49135
4|60767|18153584
4|62154|20871592
6|33243|49835
6|31857|52425
6|33244|160840
4|60768|97198408
4|62155|12444094
6|31858|5880890
4|60769|29920685
4|62156|18813273
6|33245|45353
6|31859|43607
4|17960|9001122
4|62157|17325385
6|33246|42199
4|17961|6755975
4|62158|15884628
6|33247|89964
4|17962|12023163
4|62159|7917923
6|33248|1090820
6|33249|71994
4|17963|3746501
4|19350|9578043
4|17964|11028340
4|19351|5257888
4|17965|8804508
4|19352|10731379
4|17966|11297259
4|19353|3696794
4|17967|6276375
4|19354|12701656
4|17968|38172382
4|19355|5454060
4|17969|4396570
4|43550|10685782
4|19356|15453314
6|14640|43430
4|43551|23281631
4|19357|10901449
6|14641|41882
4|43552|35712656
4|19358|14409579
6|14642|485222
4|43553|18345963
4|19359|4058893
6|16030|53475
4|43554|25355933
6|14643|49734
6|14644|875888
6|16031|33492
4|43555|14351471
6|16032|36848
6|14645|47673
4|43556|20491224
6|16033|39663
4|43557|13055278
6|14646|74765
6|16034|9986561
6|14647|95044
4|43558|15093549
6|14648|6846727
6|16035|34839
4|43559|17116395
6|14649|34191
6|16036|36920
6|40230|64124
6|16037|1642428
6|40231|44566
6|40232|6240352
6|16038|205795
6|16039|36560
6|1870|244837
6|40233|55974
6|1871|67997
6|40234|2981264
6|40235|876483
6|1872|32153
6|3260|35861
6|1873|41114
6|40236|50264
6|1874|42193
6|40237|51582
6|3261|75668
4|65390|63028722
6|40238|117083
6|1875|59789
6|3262|54687
4|65391|6841807
6|1876|73346
4|26340|60889918
6|40239|44066
6|3263|43145
4|65392|13494228
6|1877|91444
6|3264|44996
4|26341|14612219
4|65393|13765908
6|3265|41782
6|1878|54759
4|26342|22645029
6|57900|490671
4|65394|14343801
6|3266|46698
4|26343|132571524
6|1879|140297
6|57901|156401
4|65395|6293188
6|3267|40592
4|26344|21762765
6|57902|585730
4|65396|11868463
6|57903|587939
6|3268|63536
4|26345|42294397
4|8290|21174031
6|60680|313311
4|65397|31189637
6|3269|46924
4|26346|45114530
4|8291|94021254
6|60681|1042665
6|57904|178016
4|65398|22083652
4|26347|85477778
4|8292|14728267
6|60682|90006
6|57905|375767
4|65399|19560272
4|26348|130731938
4|8293|7069756
6|60683|106557
6|57906|805038
4|26349|19974824
4|8294|12044797
6|60684|707960
6|57907|113702
4|8295|15005450
6|23020|39123
6|60685|168869
6|57908|220701
6|23021|48152
4|8296|9947825
6|60686|227865
6|57909|2898791
6|23022|533248
4|8297|9355979
6|60687|90359
4|8298|19801373
6|23023|62273
6|60688|1257109
6|23024|1508551
4|46790|17297853
4|8299|4499530
6|60689|214596
6|23025|44337
6|17880|46878
4|46791|13142956
6|23026|1699478
4|46792|16577251
6|17881|48744
6|17882|1373755
6|23027|35046
4|46793|14441216
4|48180|27506928
6|17883|46587
6|23028|193655
4|46794|25132159
4|48181|17359566
6|17884|43000
6|23029|41607
4|46795|14508028
4|48182|34350505
6|17885|59290
4|46796|15712568
4|48183|13006958
6|17886|39965
4|46797|30529586
4|48184|60851094
6|17887|43598
4|46798|26769835
4|48185|17652761
6|17888|227331
4|46799|10786174
4|48186|15058489
6|43470|76090
6|17889|37288
4|48187|17312663
6|43471|40896
4|48188|19140556
6|43472|965944
4|48189|33533003
6|43473|72544
6|43474|62489
6|43475|40379
6|43476|1361743
6|43477|54390
6|43478|211114
6|43479|48586
4|29580|8420108
4|29581|5008870
4|29582|14959158
4|29583|7088047
4|29584|10693655
4|29585|31006527
4|29586|12396123
4|53780|31414630
4|29587|3341692
4|53781|13583122
6|24870|574333
4|29588|9807563
4|53782|87464392
6|24871|41450
6|24872|304049
4|29589|6993806
4|55170|31777035
4|53783|15197639
6|26260|384201
4|55171|28501329
4|53784|56875524
6|24873|46609
6|24874|1157517
4|55172|21924320
6|26261|48574
4|53785|610636815
4|55173|20173449
6|26262|292248
4|53786|34600452
6|24875|44659
6|24876|22507
6|26263|185276
4|55174|55895770
4|53787|22927197
6|26264|40837
4|55175|13505592
4|53788|90462044
6|24877|39193
6|26265|178236
6|24878|1575963
4|55176|28110697
4|53789|34970668
6|26266|44873
6|24879|833936
4|55177|21292556
6|50460|1257201
6|26267|64293
4|55178|34644744
6|50461|1580585
6|26268|201530
4|55179|13430646
6|50462|1207154
6|26269|44493
6|50463|2682696
6|50464|1565979
